,State,City,Station,displayname,nolookupname,latlong,point,latitude,longitude,latlongnolookup
238,Uttar Pradesh,Noida,"Sector-116, Noida - UPPCB","Sector-116, Noida, Uttar Pradesh","Noida, Uttar Pradesh, India","Sector 94, Hazipur, Dadri, Gautam Buddha Nagar, Uttar Pradesh, India","(28.551017199999997, 77.32375904907622, 0.0)",28.5510172,77.32375905,
239,Uttar Pradesh,Varanasi,"Ardhali Bazar, Varanasi - UPPCB","Ardhali Bazar, Varanasi, Uttar Pradesh","Varanasi, Uttar Pradesh, India",,"(25.3356491, 83.0076292, 0.0)",25.3356491,83.0076292,"Varanasi, Varanasi, Varanasi, Uttar Pradesh, 221001, India"
240,West Bengal,Asansol,"Asansol Court Area, Asansol - WBPCB","Asansol Court Area, Asansol, West Bengal","Asansol, West Bengal, India",,"(23.6871297, 86.9746587, 0.0)",23.6871297,86.9746587,"Asansol, Asansol Kulti Township, Paschim Bardhaman, West Bengal, India"
241,West Bengal,Durgapur,"Sidhu Kanhu Indoor Stadium, Durgapur - WBPCB","Sidhu Kanhu Indoor Stadium, Durgapur, West Bengal","Durgapur, West Bengal, India",,"(23.5350475, 87.3380425, 0.0)",23.5350475,87.3380425,"Durgapur, Faridpur Durgapur, Paschim Bardhaman, West Bengal, 713200, India"
242,West Bengal,Haldia,"Haldia, Haldia - WBPCB","Haldia, Haldia, West Bengal","Haldia, West Bengal, India","Haldia, Purba Medinipur, West Bengal, 721604, India","(22.028124, 88.0632655, 0.0)",22.028124,88.0632655,
243,West Bengal,Howrah,"Belur Math, Howrah - WBPCB","Belur Math, Howrah, West Bengal","Howrah, West Bengal, India","Sri Ramakrishna Temple, Grand Trunk Road, Bally, Bally Jagachha, Howrah, West Bengal, 711101, India","(22.6323298, 88.35645069606947, 0.0)",22.6323298,88.3564507,
244,West Bengal,Howrah,"Ghusuri, Howrah - WBPCB","Ghusuri, Howrah, West Bengal","Howrah, West Bengal, India",,"(22.4993915, 88.0309125482209, 0.0)",22.4993915,88.03091255,"Howrah, West Bengal, India"
245,West Bengal,Howrah,"Padmapukur, Howrah - WBPCB","Padmapukur, Howrah, West Bengal","Howrah, West Bengal, India","Padmapukur, Kona Expressway, Howrah, West Bengal, 711103, India","(22.5682566, 88.3057431, 0.0)",22.5682566,88.3057431,
246,West Bengal,Kolkata,"Ballygunge, Kolkata - WBPCB","Ballygunge, Kolkata, West Bengal","Kolkata, West Bengal, India","Ballygunge, Rash Behari Avenue Connector, Ruby Park, Kushita, Kolkata, West Bengal, 700019, Kolkata","(22.5204877, 88.3721746, 0.0)",22.5204877,88.3721746,
247,West Bengal,Kolkata,"Bidhannagar, Kolkata - WBPCB","Bidhannagar, Kolkata, West Bengal","Kolkata, West Bengal, India","Bidhannagar, NBCC, AQ Block, Rajarhat, North 24 Parganas, West Bengal, 700 156, India","(22.58162035, 88.4523869411636, 0.0)",22.58162035,88.45238694,
248,West Bengal,Kolkata,"Fort William, Kolkata - WBPCB","Fort William, Kolkata, West Bengal","Kolkata, West Bengal, India","Fort William, Hospital Road, Maidan, Kolkata, West Bengal, 700038, Kolkata","(22.55449655, 88.33801318408831, 0.0)",22.55449655,88.33801318,
249,West Bengal,Kolkata,"Jadavpur, Kolkata - WBPCB","Jadavpur, Kolkata, West Bengal","Kolkata, West Bengal, India","Jadavpur, Jadavpur Station Link Road, Santoshpur, Ananda Pally, Kolkata, West Bengal, 700032, Kolkata","(22.4951079, 88.3749813, 0.0)",22.4951079,88.3749813,
250,West Bengal,Kolkata,"Rabindra Bharati University, Kolkata - WBPCB","Rabindra Bharati University, Kolkata, West Bengal","Kolkata, West Bengal, India","Rabindra Bharati University, SH1, North Dumdum, Barrackpur - II, West Bengal, 700 050, India","(22.62696605, 88.38049809655342, 0.0)",22.62696605,88.3804981,
251,West Bengal,Kolkata,"Rabindra Sarobar, Kolkata - WBPCB","Rabindra Sarobar, Kolkata, West Bengal","Kolkata, West Bengal, India","Rabindra Sarobar, Kavi Bharati Sarani, Lake Garden, Dhakuria, Kolkata, West Bengal, 700029, Kolkata","(22.51226105, 88.36383105710377, 0.0)",22.51226105,88.36383106,
252,West Bengal,Kolkata,"Victoria, Kolkata - WBPCB","Victoria, Kolkata, West Bengal","Kolkata, West Bengal, India","Victoria, Maidan, Kolkata, West Bengal, Kolkata","(22.54978375, 88.33911363126559, 0.0)",22.54978375,88.33911363,
253,West Bengal,Siliguri,"Ward-32 Bapupara, Siliguri - WBPCB","Ward-32 Bapupara, Siliguri, West Bengal","Siliguri, West Bengal, India",,"(26.7164127, 88.4309916, 0.0)",26.7164127,88.4309916,"Siliguri, Matigara, Darjeeling, West Bengal, India"
